timestamp_(min),feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_20,feature_21,feature_22,feature_23,feature_24
0,506513,111221,9989,20089,59273,69582,1971064,1355,3304,11058,24837,212778,107728,11289,121451,7942,174385,450,49487,0,889,29,7510,8873,3538
1,1290513,196594,16673,60997,120904,143819,383944,7696,12244,10214,19611,465349,75414,15297,212771,10964,349745,4027,518516,0,7373,62,13112,10479,3163
2,16119177,363643,13896,25006,71667,78196,282223,921,2281,12211,26274,1745069,84729,5994,321579,3161,15831075,1791,2477138,0,243,4,3816,3595,1892
3,53922202,476896,9235,44092,61704,163485,15648932,1040,2115,6448,14351,3124627,22821,14606,548624,8314,13763894,314,2239810,0,572,9,14900,6885,2083
4,48577964,446829,7662,113481,160574,66988,26387028,142,1400,26679,60298,1179831,228431,16576,508089,9204,15183203,2381,861478,0,2380,1,8466,9969,5594
5,31638840,4306453,103843,21889,123209,273944,4904461,3174,17357,4494,18787,362625,74884,107520,4593634,16341,3908834,2981,417694,3,2257,3,4047,19941,6781
6,28463921,5055334,94325,7834,53203,309424,4632663,4402,20055,5524,19179,2891370,125110,110286,6518444,4131,4935161,1312,3713563,0,1309,2,25136,10201,3585
7,18516189,3991510,71178,25045,78927,91930,4234272,1436,5269,4696,19807,3269556,104490,74387,4049930,12753,3640737,3394,2770323,0,5736,4,7955,13161,2547
8,27762446,4625165,86642,76983,168648,102028,2475789,4840,10743,12700,22140,2638966,78585,55645,2665495,10288,2607388,1073,2750849,0,6272,6,9829,6246,1335
9,25988743,657841,16153,104365,187883,71470,12039543,408,2396,17082,37302,3360877,80994,5964,313183,3398,16225378,3335,3372847,0,328,0,3038,2541,757
10,61801787,317985,3148,26312,54189,62700,24464403,45,1445,5795,8153,2975405,9238,2832,324894,2022,23549053,1202,2877643,0,1654,0,5853,1782,598
11,38859724,217814,6713,18265,57358,23077,10562188,51,707,2224,18343,945864,73192,22917,398213,12057,4551115,46,1091601,0,15,1,17963,14670,4882
12,23742911,4546243,101967,53518,202628,239030,4120385,2586,23869,4212,26307,3715634,138815,92636,4736867,7446,3726202,1373,3496634,0,1385,1,7312,7302,2415
13,23676180,4276803,75864,37335,104774,151113,2255826,1889,7319,8459,19499,2816302,70897,76842,3908030,14273,3454728,2945,2304414,0,1215,3,10620,14193,2359
14,21858671,4376536,82162,32458,92286,63263,4674590,619,2896,5937,9922,3016775,53015,58561,3350108,9315,2892983,3110,2263682,0,1311,0,9957,9449,4774
15,37502100,5450792,109126,64644,178213,232433,4321351,1123,7249,11155,43362,2727799,167691,109855,5692291,8391,4478939,904,3683264,0,1191,0,1117,10919,2300
16,19886517,3340805,63793,38321,85628,94276,2879431,4922,9918,14558,30822,2461187,151515,62027,3182628,7885,2944083,980,1772264,0,4566,8,10548,6648,2731
17,7894650,613306,14780,28432,145110,63623,1941874,1422,3392,17185,24923,3726622,89812,18061,596871,4661,1747836,3128,3279698,42,6064,0,13212,7928,3683
18,46319753,714699,13990,23964,83228,191848,19811674,1214,20664,5644,8581,2968995,9599,11629,922012,1971,20283389,854,3737914,0,4063,20,21464,2753,772
19,59864859,314355,2727,24632,50584,62038,24691224,45,1446,16328,58091,5952615,295883,3171,357320,2347,25238719,1359,3163301,3,3609,0,5230,1996,802
20,39910321,2106057,52841,108452,203194,580493,12027611,19623,22879,19455,58974,4142420,189595,67176,2959088,12602,11767776,5493,6147770,21,12922,1,15202,6257,2003
21,35860011,4087480,112904,155532,377548,289114,5427640,3512,12351,10817,25361,4094372,120878,114006,4282966,24207,4566000,2037,4286428,0,3537,7,11174,36007,11385
22,38723810,6673444,124135,23804,72285,116910,5031887,2802,5249,9547,29835,3372800,139419,96190,3959061,19333,3782666,860,3939477,0,1355,2,12081,10778,3783
23,31979305,4933748,103999,61632,176209,207198,1699727,1681,5908,18432,45022,5094426,124988,109542,4849250,14455,5552967,3148,3792603,0,8381,31,18431,11902,2520
